admissionRate,mathSat,englishSat,overallCost,graduateCount,femaleProportion,entryAge,dependentProportion,povertyRate,firstGenerationProportion,asianPreportion,blackPreportion,whitePreportion,hispanicPreportion,nativePreportion,endowment,facultySalary,studentExpendature,studentRevenue,studentCount,medianIncome,housingCost,tuitionCost,overallPrice,pellGrantReceivers,federalLoanReceivers,debtAmount,lenders,sixYearEarnings,schoolName,id
0.9084,,498.0,41238.0,905.0,0.9814,24.0,0.5942211055,10.0200004577636,0.4426470588,0.0111,0.0667,0.8444,0.0333,0.0,41615758.0,6025.0,8652.0,15667.0,858.0,58784.0,8770.0,31258.0,17586.0,0.6746231156,0.6997,27000.0,0.9120603015,44864.0,Alverno College,
,,,,840.0,0.6604,34.0,,,,0.0,0.1875,0.6875,0.125,0.0,52658541.0,6738.0,3436.0,8156.0,159.0,,,,,,0.1925,,,,Amberton University,
,,,28028.0,,0.3684,30.0,0.2857142857,14.5500001907348,0.4848484848,0.2,0.8,0.0,0.0,0.0,2719098.0,4219.0,12713.0,31636.0,57.0,49435.0,8640.0,12474.0,24855.0,,0.7636,,,25358.0,American Baptist College,
,,,,430.0,,,,,,0.0,0.0,1.0,0.0,0.0,24822143.0,9029.0,7472.0,35136.0,,,,,,,,,,,American Film Institute Conservatory,
0.5787,513.0,430.0,50598.0,956.0,0.5855,21.0,0.8315789474,10.4499998092651,0.4057377049,0.0588,0.0588,0.8235,0.0196,0.0,27257471.0,7523.0,4757.0,12766.0,1269.0,62232.0,14800.0,39370.0,22698.0,0.6608187135,0.756,27000.0,0.9719298246,45841.0,American International College,
,,,,76.0,0.9091,23.0,0.5416666667,6.48999977111816,,0.0,0.0,1.0,0.0,0.0,26306540.0,13118.0,18137.0,7348.0,22.0,80280.0,,,,,0.2857,,,35745.0,American Jewish University,
0.6409,665.0,620.0,56065.0,6389.0,0.6326,19.0,0.955120359,5.34000015258789,0.156343443,0.0891,0.075,0.7468,0.0504,0.0023,884305000.0,12387.0,16023.0,30451.0,8158.0,81657.0,15150.0,53334.0,28037.0,0.3537331701,0.334,22750.0,0.9502243982,60487.0,American University,
0.0874,740.0,725.0,77411.0,,0.5145,19.0,0.9631728045,6.96999979019165,0.2084592145,0.1273,0.0936,0.633,0.0749,0.0075,3775153114.0,13490.0,35852.0,28973.0,1971.0,82187.0,16100.0,61150.0,17304.0,0.6628895184,0.0888,13740.0,0.5014164306,66683.0,Amherst College,
0.6245,530.0,,46132.0,186.0,0.5409,21.0,0.8132464712,5.40000009536743,0.2316513761,0.0208,0.0313,0.8854,0.0313,0.0,45309000.0,6295.0,10101.0,15008.0,1137.0,64040.0,11710.0,32950.0,22009.0,0.5114006515,0.7021,27000.0,0.9598262758,39897.0,Anderson University,
0.8151,580.0,540.0,42156.0,1569.0,0.5125,21.0,0.8549323017,7.92999982833862,0.1721311475,0.0704,0.1457,0.5829,0.1106,0.0,70146819.0,5057.0,11594.0,15426.0,1315.0,63096.0,8968.0,31782.0,20805.0,0.5551257253,0.3787,26000.0,0.8936170213,42804.0,Andrews University,
0.7007,520.0,455.0,20712.0,1705.0,0.5775,21.0,0.8434223876,11.369999885559,0.403975994,0.0673,0.0288,0.7821,0.0833,0.0192,222128318.0,7669.0,6626.0,5613.0,5418.0,49632.0,9980.0,17978.0,13499.0,0.6611430504,0.3015,20000.0,0.7632735881,39229.0,Angelo State University,
0.7285,,,52960.0,402.0,0.4219,22.0,0.7722308892,6.57999992370605,0.3969335605,0.0227,0.0227,0.8864,0.0227,0.0,7190015.0,6553.0,5790.0,13455.0,1076.0,69542.0,15324.0,40208.0,24185.0,0.5304212168,0.7353,25000.0,0.9734789392,52188.0,Anna Maria College,
,,,,340.0,0.7372,35.0,0.1288515406,7.86999988555908,0.3682539683,0.0476,0.0476,0.7143,0.0476,0.0,853174.0,6782.0,9433.0,20064.0,137.0,65831.0,,,,0.6666666667,0.5976,23501.0,0.8767507003,41333.0,Antioch University,
,,,,682.0,0.6863,35.0,0.1288515406,7.86999988555908,0.3682539683,0.0,0.1143,0.6286,0.0571,0.0571,3185705.0,6478.0,10544.0,22426.0,102.0,65831.0,,,,0.6666666667,0.5176,23501.0,0.8767507003,41333.0,Antioch University-Los Angeles,
,,,,1035.0,,35.0,0.1288515406,7.86999988555908,0.3682539683,0.0484,0.129,0.7258,0.0484,0.0,2214143.0,5465.0,8817.0,18753.0,,65831.0,,,,0.6666666667,,23501.0,0.8767507003,41333.0,Antioch University-New England,
